timestamp,event_cause,corridor,junction,hour_bucket,outcome,readiness_score
2026-06-19 16:15:52,accident,Hosur Road,Silk Board,evening_peak,understaffed,68.0
2026-06-20 18:15:52,accident,Hosur Road,Silk Board,evening_peak,understaffed,71.0
2026-06-21 08:15:52,water_logging,Outer Ring Road,Marathahalli,morning_peak,sufficient,85.0
2026-06-21 15:15:52,vehicle_breakdown,Mysore Road,Kengeri TTMC,afternoon,sufficient,45.0
2026-06-21 19:30:52,accident,Hosur Road,Silk Board,morning_peak,understaffed,65.0
2026-06-21 20:21:44,vehicle_breakdown,Mysore Road,17th Mn 1st Crs Aishwarya Stores Jn,night_peak,understaffed,
2026-06-21 20:21:44,water_logging,Hosur Road,27th Cross Jayanagar(Ganapathi Temple),evening,understaffed,
2026-06-21 20:24:37,water_logging,Hosur Road,27th Cross Jayanagar(Ganapathi Temple),evening,understaffed,
2026-06-21 20:30:50,vehicle_breakdown,Mysore Road,17th Mn 1st Crs Aishwarya Stores Jn,night_peak,understaffed,
2026-06-21 20:30:50,accident,Bellary Road 1,28thMainJayanagarJunc,night_peak,understaffed,
2026-06-21 20:31:00,vehicle_breakdown,Mysore Road,17th Mn 1st Crs Aishwarya Stores Jn,night_peak,understaffed,
2026-06-21 20:31:00,accident,Bellary Road 1,28thMainJayanagarJunc,night_peak,understaffed,
2026-06-21 20:39:40,accident,Bellary Road 1,28thMainJayanagarJunc,night_peak,understaffed,
2026-06-21 20:44:02,vehicle_breakdown,Mysore Road,17th Mn 1st Crs Aishwarya Stores Jn,night_peak,understaffed,
2026-06-21 20:44:02,accident,Bellary Road 1,28thMainJayanagarJunc,night_peak,understaffed,
2026-06-21 20:44:29,water_logging,ORR North 2,Arbindo Circle,afternoon,understaffed,
2026-06-21 20:51:44,vehicle_breakdown,Mysore Road,17th Mn 1st Crs Aishwarya Stores Jn,night_peak,understaffed,
2026-06-21 20:51:44,accident,Bellary Road 1,28thMainJayanagarJunc,night_peak,understaffed,
2026-06-21 22:39:04,vehicle_breakdown,Mysore Road,17th Mn 1st Crs Aishwarya Stores Jn,night_peak,understaffed,
